                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2597,                0.22222,                0.72222,                 2.2832,              0.0001428,              0.0001428,              0.0001428
                      2,                  2.056,                0.27778,                0.81481,                 2.2217,             0.00028694,             0.00028694,             0.00028694
                      3,                 1.8327,                0.38889,                0.87037,                 2.1719,             0.00042515,             0.00042515,             0.00042515
                      4,                 1.5833,                0.35185,                0.87037,                 2.1035,             0.00055742,             0.00055742,             0.00055742
                      5,                 1.4606,                0.38889,                0.96296,                 2.0889,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.4044,                0.37037,                0.96296,                 2.0781,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.3114,                0.33333,                0.96296,                 2.0576,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.3156,                0.40741,                0.96296,                 2.0566,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.2904,                0.42593,                0.98148,                 2.0537,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.2355,                0.38889,                0.98148,                  2.044,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.2194,                0.31481,                0.96296,                 2.0459,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.2083,                0.42593,                0.98148,                 2.0195,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.1863,                0.42593,                0.98148,                  2.042,             0.00055849,             0.00055849,             0.00055849
                     14,                  1.163,                0.40741,                0.98148,                 2.0337,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.1035,                0.38889,                0.94444,                 2.0469,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.1251,                0.40741,                0.96296,                 2.0498,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.1202,                0.40741,                0.96296,                 2.0361,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.0636,                0.42593,                0.98148,                 2.0176,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.0355,                0.37037,                0.98148,                  2.042,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.0532,                0.33333,                      1,                 2.0337,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.0856,                0.33333,                0.98148,                 2.0312,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.0532,                0.33333,                0.98148,                  2.044,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.0068,                0.37037,                0.96296,                 2.0332,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.0166,                0.35185,                0.98148,                  2.042,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.0098,                0.33333,                0.98148,                 2.0478,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.0076,                0.33333,                      1,                 2.0601,             0.00037471,             0.00037471,             0.00037471
                     27,                0.98873,                0.35185,                      1,                 2.0518,             0.00036057,             0.00036057,             0.00036057
                     28,                 0.9696,                0.35185,                0.98148,                 2.0322,             0.00034643,             0.00034643,             0.00034643
                     29,                0.98065,                0.33333,                0.98148,                  2.041,              0.0003323,              0.0003323,              0.0003323
                     30,                0.99464,                 0.2963,                0.98148,                 2.0449,             0.00031816,             0.00031816,             0.00031816
                     31,                0.95571,                 0.2963,                0.98148,                 2.0449,             0.00030402,             0.00030402,             0.00030402
                     32,                0.95202,                 0.2963,                0.98148,                 2.0498,             0.00028988,             0.00028988,             0.00028988
                     33,                0.96504,                0.33333,                      1,                 2.0415,             0.00027575,             0.00027575,             0.00027575
                     34,                0.97681,                0.33333,                0.98148,                 2.0586,             0.00026161,             0.00026161,             0.00026161
                     35,                0.93343,                0.33333,                0.98148,                 2.0644,             0.00024747,             0.00024747,             0.00024747
                     36,                0.92128,                0.33333,                0.98148,                 2.0498,             0.00023334,             0.00023334,             0.00023334
                     37,                0.89792,                0.31481,                0.98148,                 2.0469,              0.0002192,              0.0002192,              0.0002192
                     38,                0.94702,                0.33333,                0.98148,                  2.043,             0.00020506,             0.00020506,             0.00020506
                     39,                0.95722,                 0.2963,                0.98148,                 2.0518,             0.00019092,             0.00019092,             0.00019092
                     40,                0.87143,                0.31481,                0.98148,                 2.0596,             0.00017679,             0.00017679,             0.00017679
                     41,                0.91734,                0.31481,                0.98148,                 2.0586,             0.00016265,             0.00016265,             0.00016265
                     42,                0.90286,                0.31481,                0.98148,                  2.042,             0.00014851,             0.00014851,             0.00014851
                     43,                0.88936,                0.33333,                0.98148,                 2.0469,             0.00013437,             0.00013437,             0.00013437
                     44,                0.90908,                0.33333,                0.98148,                 2.0269,             0.00012024,             0.00012024,             0.00012024
                     45,                0.93433,                0.33333,                0.98148,                  2.019,              0.0001061,              0.0001061,              0.0001061
                     46,                0.90465,                0.31481,                0.98148,                 2.0625,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.89785,                0.31481,                0.98148,                 2.0566,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.90011,                 0.2963,                0.98148,                 2.0576,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.87436,                0.31481,                0.98148,                 2.0576,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.89254,                 0.2963,                0.98148,                 2.0478,             3.5414e-05,             3.5414e-05,             3.5414e-05
